モンスタID,モンスタ名,ドロップ1,ドロップ率,ドロップ2,ドロップ率,ドロップ3,ドロップ率,ドロップ4,ドロップ率,ドロップ5,ドロップ率,ドロップ6,ドロップ率,ドロップ7,ドロップ率,ドロップ8,ドロップ率
1374,インキュバス,白ハーブ,5500,白ハーブ,5500,マステラの実,1500,金の指輪,500,ダイヤの指輪,150,少年の心,0,インキュバスの角,1,インキュバスカード,1
1375,一反木綿,なめらかな紙,4947,不気味な紙片,3200,緑ハーブ,2000,黄ハーブ,1800,鎌鼬,5,リンゴ,0,リンゴ,0,一反木綿カード,1
1376,ハーピー,ハーピーの羽,4850,ハーピーの爪,2500,黄ハーブ,1500,黄ハーブ,1500,イジドル,20,エレクトリックフィスト [3],20,リンゴ,0,ハーピーカード,1
1377,エルダー,古い魔法陣,4389,時計塔地下のカギ,3389,エルダーの枝,3256,破れた魔法書,1683,大百科事典 [2],14,シャドウスタッフ [2],2,古いカード帖,1,エルダーカード,1
1378,デーモンパンク,魔女の星の砂,5000,カビの粉,4559,菌糸,4074,イエロージェムストーン,3880,リンゴ,0,リンゴ,0,リンゴ,0,デーモンパンクカード,1
1379,ナイトメアテラー,燃えている馬の蹄,4947,青ハーブ,150,ソウルストライクLv5,100,青ポーション,50,ロザリー,30,ロザリオ [1],1,裏切り者,1,ナイトメアテラーカード,1
1380,ドリラー,トカゲの襟巻,7500,イエロージェムストーン,3880,レッドジェムストーン,3500,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,ドリラーカード,1
1381,グリズリー,くまの足の裏,5000,獣の皮,5000,火種,0,おいしい焼きいも,2500,オーディンの祝福 [1],10,リンゴ,0,リンゴ,0,グリズリーカード,1
1382,ディアボリック,子悪魔の角,5820,子悪魔の翼,4850,オリデオコン,20,アンホーリータッチ,10,ブローチ,3,リンゴ,0,リンゴ,0,ディアボリックカード,1
1383,エクスプロージョン,赤いコウモリの翼,5500,火種,0,熱い毛,3200,燃えている心臓,2200,オリデオコン原石,800,マステラの実,400,リンゴ,0,エクスプロージョンカード,1
1384,スカイデリーター,ドラゴンの牙,5335,ドラゴンの皮,4074,ドラゴンの尻尾,3880,ドラゴンの鱗,3589,リンゴ,0,リンゴ,0,リンゴ,0,スカイデリーターカード,1
1385,グラウンドデリーター,ドラゴンの牙,5335,ドラゴンの皮,4074,ドラゴンの尻尾,3880,ドラゴンの鱗,3589,ストーンバックラー [1],10,リンゴ,0,リンゴ,0,グラウンドデリーターカード,1
1386,スリーパー,砂のかけら,5335,砂の塊,4947,グレイトネイチャ,2500,きれいな砂,1200,オリデオコン原石,300,ダマスカス [2],5,催眠術師の杖 [2],5,スリーパーカード,1
1387,ギグ,サソリの尻尾,5500,さそりニッパ,4365,万能薬,2500,フレイムハート,850,レッドジェムストーン,150,リンゴ,0,リンゴ,0,ギグカード,1
1388,アークエンジェリング,イグドラシルの葉,1800,めのう,1500,トルコ石,1500,イグドラシルの種,150,天使のヘアバンド,5,悪魔のヘアバンド,5,プレート [1],3,アークエンジェリングカード,1
1389,ドラキュラ,イグドラシルの実,4700,昔の領主のマント,15,ウィザードスタッフ,5,バリスタ,5,リング [1],4,黙示録,4,リンゴ,0,ドラキュラカード,1
1390,ヴァイオリー,金色の髪,6305,ローヤルゼリー,1400,ぬいぐるみ,1200,呪われた水,1000,バイオリン [4],500,ベースギター [1],50,高級調理器具,50,ヴァイオリーカード,1
1391,ガラパゴ,サイファー,5335,黄ハーブ,3500,オレンジ,1000,メロン,500,ココナッツの実,500,アロエベラ,100,ガラパゴ帽,1,ガラパゴカード,1
1392,ロータージャイロ,ガレット,5500,ジャルゴン,2500,サイファー,1000,でっかいゼロピー,500,鋼鉄,450,オリデオコン,1,アーマー,1,ロータージャイロカード,1
1393,マミー(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1394,ゾンビ(アリーナ),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1395,クリスタル(黄),アニバーサリー帽,0,アニバーサリーリング,0,イエロークリスタルの欠片,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1396,クリスタル(緑),アニバーサリー帽,0,アニバーサリーリング,0,グリーンクリスタルの欠片,0,古木の枝,0,イグドラシルの葉,0,リンゴ,0,リンゴ,0,リンゴ,0
1397,クリスタル(赤),アニバーサリー帽,0,アニバーサリーリング,0,レッドクリスタルの欠片,0,サードオニキス,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1398,クリスタル(青),アニバーサリー帽,0,アニバーサリーリング,0,ブルークリスタルの欠片,0,オリデオコン原石,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1400,カラ傘,油紙,5000,竹筒,4268,ジャルゴン,4074,木屑,3200,なめらかな紙,2200,ガラス玉,30,村雨 [1],5,カラ傘カード,1
1401,カブキ忍者,壊れた手裏剣,5335,黒い覆面,2000,煙幕粉,100,忍の腰帯,100,村雨 [2],5,忍者スーツ,2,シーフクロース [1],1,カブキ忍者カード,1
1402,大口蛙,ガマ蛙の皮,5500,毒の粉,2400,緑ハーブ,540,チンクエディア [2],10,金の指輪,4,呪われたルビー,2,ローヤルゼリー,2,大口蛙カード,1
1403,銃奇兵,鉄,5500,でっかいゼロピー,1400,おいしい焼きいも,350,万能薬,250,黄ハーブ,40,サイクロン [2],5,楯無の兜 [1],0,銃奇兵カード,1
1404,雅人形,つややかな髪,5335,古い着物,2500,白ハーブ,1550,星のかけら,1250,高級調理器具,10,白刃,5,マンドリン [3],2,雅人形カード,1
1405,酒天狗,割れた酒壺,5500,天狗の鼻,3500,マステラの実,150,アーススパイクLv5,100,宮廷用調理器具,20,風魔手裏剣・大車輪 [4],5,風魔手裏剣・大車輪 [3],5,酒天狗カード,1
1406,河童,黄色い皿,6500,サイファー,3500,アロエの葉,2300,風魔手裏剣・明浄 [2],20,孤独なソロのギター,10,十手 [1],5,メント,2,河童カード,1
1407,ホーン☆ヒーロー,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1408,パピヨン,蝶の鱗粉,5500,かたい触角,4608,大きな蝶の羽,2500,蝶の羽,1200,バグナウ [4],3,ラリエット,1,リンゴ,0,パピヨンカード,1
1409,団子童子,風車,5000,竹筒,3200,お面,3000,油紙,2500,小包子,1000,ピエロの鼻,1,リンゴ,0,団子童子カード,1
1410,人面桃樹,とてもかたい桃,4365,ローヤルゼリー,1000,マステラの実,500,エルダーの枝,500,古木の枝,400,バナナジュース,100,古く青い箱,5,人面桃樹カード,1
1412,天邪仙人,小包子,6800,チーズ,5600,雲のかけら,4656,お米のお菓子,4500,エルニウム原石,150,ライトニングボルトLv5,100,ギター [1],2,天邪仙人カード,1
1413,老人参,食人植物の花,4800,食人植物の根,3800,アロエの葉,3500,イジドル,10,イチゴ,1000,マンドラゴラの鉢植え,500,ロープ [4],1,老人参カード,1
1415,コウ,豹の皮,5200,豹の爪,3200,にく,2000,ペットフード,500,オリデオコン原石,150,ダガー [3],100,リンゴ,0,コウカード,1
1416,天仙娘々,透明な羽衣,3977,柔らかい布,1380,ヒールLv5,100,琵琶,10,オリデオコン,10,マンドリン [3],4,リュート [3],1,天仙娘々カード,1
1417,チャッキー,黒い熊の皮,4500,謎のチャック,3500,糸巻,900,ハチ蜜,900,針刺し,600,ローヤルゼリー,400,リンゴ,90,チャッキーカード,1
1418,黒蛇王,羅盤,5820,道士の剣,5100,高級エプロン,2000,丸薬,900,ゲイボルグ,500,ヘルファイア,80,学者帽,80,黒蛇王カード,1
1419,ファミリアー(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1420,アーチャースケルトン(アリーナ),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1421,イシス(闘技場),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1422,ハンターフライ(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1423,グール(闘技場),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1424,サイドワインダー(闘技場),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1425,オボンヌ(アリーナ),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1426,マルク(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1427,ナイトメア(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1428,ポイズンスポア(アリーナ),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1429,アルギオペ(闘技場),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1430,アルゴス(闘技場),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1431,バフォメット.Jr(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1432,デザートウルフ(闘技場),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1433,デビルチ(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1434,ドレインリアー(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1435,イビルドルイド(アリーナ),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1436,ジャック(闘技場),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1437,ジョーカー(闘技場),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1438,カーリッツバーグ(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1439,ハイオーク(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1440,ステムワーム(闘技場),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1441,ペノメナ(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1442,サスカッチ(闘技場),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1443,クルーザー(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1444,チェペット(闘技場),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1445,レグルロ(海の化け物),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1446,インジャスティス(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1447,グリフォン(アリーナ),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1448,ダークフレーム(闘技場),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1449,ミュータントドラゴン(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1450,ウィンドゴースト(闘技場),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1451,半漁人(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1452,オークレディ(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1453,レイドリックアーチャー(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1454,三葉蟲(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1455,コボルドアーチャー(闘技場),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1456,キメラ(闘技場),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1457,マンティス(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1458,マルドゥーク(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1459,マリオネット(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1460,マーター(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1461,ミノタウロス(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1462,オークスケルトン(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1463,オークゾンビ(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1464,パサナ(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1465,グラウンドプティット(闘技場),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1466,スカイプティット(闘技場),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1467,レイドリック(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1468,レクイエム(アリーナ),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1469,スケルワーカー(闘技場),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1471,九尾狐(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1472,ボンゴン(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1473,オークアーチャー(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1474,ミミック(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1475,レイス(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1476,アラーム(闘技場),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1477,アクラウス(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1478,ライドワード(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1479,スケルプリズナー(闘技場),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1480,ゾンビプリズナー(アリーナ),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1481,パンク(闘技場),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1482,ジルタス(闘技場),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1483,リビオ(闘技場),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1484,フェンダーク(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1485,ミステルテイン(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1486,オーガトゥース(闘技場),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1487,エクスキューショナー(闘技場),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1488,アノリアン(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1489,スティング(闘技場),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1490,彷徨う者(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1491,ドケビ(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1492,怨霊武士,風魔手裏剣・烈火,7500,イグドラシルの実,4500,風魔手裏剣・雷雨,0,アサシンマスク,500,アゾート,80,楯無の鎧 [1],1,正宗,2,怨霊武士カード,1
1493,ドリアード,丈夫な蔓,5335,茶色い根,3000,鋭い葉っぱ,3000,大きな葉,1000,パイナップル,200,エルダーの枝,100,シュメティ,1,ドリアードカード,1
1494,ビートル,非常に硬い皮,6500,カブトムシのはさみ,4500,虫の觸角,1000,蟲の皮,500,ガード [1],1,リンゴ,0,リンゴ,0,ビートルカード,1
1495,フレイムシューター,硬い枝,5000,丸太,5000,木屑,2000,茶色い根,1000,石,1000,オリデオコン原石,100,リンゴ,0,フレイムシューターカード,1
1497,ウドゥンゴーレム,丸太,5000,木の心臓,4000,茶色い根,4000,毒草スコボリア,1000,エルニウム原石,110,古木の枝,100,草の葉,10,ウドゥンゴーレムカード,1
1498,ウータンシューター,パチンコ,4500,弾力がある縄,3500,バナナ,1000,石,1000,エルダーの枝,0,カカオ,100,バナナの皮,10,ウータンシューターカード,1
1499,ウータンファイター,にく,4500,肩当て,4000,大きな葉,1000,エルダーの枝,500,バナナの皮,5,バグナウ [3],3,フィンガー [2],1,ウータンファイターカード,1
1500,フェアリーフ,生まれたての若芽,5500,細い蔦,3880,軟らかい草の葉,2000,パイナップル,0,大きな葉,500,ランテ [1],1,ブレイドホイップ,1,フェアリーフカード,1
1503,ジビット,腐った綱,5335,木の節目,4074,吊り下げられた人形,1800,呪われたルビー,300,レッドジェムストーン,100,エルダーの枝,500,古木の枝,10,ジビットカード,1
1504,デュラハン,デュラハンの鎧の欠片,4850,デュラハンの兜,3200,マント,13,ナブのクロース [1],2,マント [1],1,デュラハンアイ,1,リンゴ,0,デュラハンカード,1
1505,ロリルリ,コウモリ籠,5044,縞模様の靴下,3000,黄色い粉,2000,黒猫の人形,800,サバフのクロース [1],1,ルナティックブローチ [1],5,ロキのささやき,1,ロリルリカード,1
1506,ディスガイズ,赤いスカーフ,4850,縛られた鎖,3686,黒い粉,100,ハチ蜜,100,ぼろマント,50,ライダーバッジ,5,マフラー [1],2,ディスガイズカード,1
1507,ブラッディマーダー,古いマント,4171,錆びた包丁,2000,歪んだ自画像,1000,オリデオコン,100,スクラッチマスク,50,包丁,3,ギンヌンガガップ,1,ブラッディマーダーカード,1
1508,キューブ,エクトプラズム,5723,黒い布切れ,3200,白い粉,100,ハエの羽,1000,毒の粉,100,オリデオコン原石,10,リンゴ,0,キューブカード,1
1509,ルード,エクトプラズム,5723,カボチャの提灯,3200,黄色い粉,100,透明な布,1000,ヒールLv3,100,魂のリング,10,エルニウム原石,10,ルードカード,1
1510,ハイローゾイスト,糸巻,5335,折れた針,4365,針刺し,2000,エクトプラズム,300,ぬいぐるみ,80,エルニウム原石,10,怒った口,1,ハイローゾイストカード,1
1511,アモンラー,ロゼッタストーンの欠片,7760,エルニウム,3880,イグドラシルの実,3000,古いカード帖,400,スフィンクス帽,150,セイフティリング,50,タブレット [1],10,アモンラーカード,1
1512,ヒェグン,ブリガン,3880,ムナック人形,300,返魂のお札,100,エルニウム,10,クレールスーツ [1],2,ブーツ [1],1,リンゴ,0,ヒェグンカード,1
1513,ミョグェ,ミョグェの扇子,4171,猫眼石,2000,魚の尻尾,100,ライトニングボルトLv5,100,アロエベラ,10,リンゴ,0,リンゴ,0,ミョグェカード,1
1514,小龍舞,龍の歯,4365,龍の角,3000,毛糸,3000,ドラゴンの鱗,1000,小鬼霊,800,リンゴ,0,リンゴ,0,小龍舞カード,1
1515,ハティーベベ,氷片,4365,よだれかけ,2500,ほ乳瓶,1500,氷バラ,100,フロストダイバーLv5,100,リンゴ,0,リンゴ,0,ハティーベベカード,1
1516,土精,乾いた砂,4365,ドロの塊,2300,グレイトネイチャ,10,黄金,2,リンゴ,0,リンゴ,0,リンゴ,0,土精カード,1
1517,虎人,虎皮模様のパンツ,4500,小鬼霊,400,クラブ [3],10,スパイク,1,リンゴ,0,リンゴ,0,リンゴ,0,虎人カード,1
1519,チュンイー(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1522,エンシェントマミー(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1523,銃奇兵(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1525,バースリー(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1527,時計塔管理者(アリーナ),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1528,クロック(アリーナ),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1529,黒蛇王(アリーナ),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1530,ドラキュラ(アリーナ),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1531,天邪仙人(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1532,エクスプロージョン(アリーナ),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1534,ゴブリン長男(MSS),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1541,天下大将軍(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1543,河童(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1545,アックスコボルド(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1546,ハンマーコボルド(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1547,メイスコボルド(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1549,ラーヴァゴーレム(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1550,人面桃樹(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1551,マルス(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1552,雅人形(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1553,ミスト(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1554,ナイトメアテラー(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1555,フェアリーフ(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1556,大口蛙(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1557,ロータージャイロ(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1558,サンドマン(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1559,スコーピオン(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1560,カブキ忍者(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1562,ソルジャースケルトン(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
1563,酒天狗(取巻き),リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0,リンゴ,0
