モンスタID,モンスタ名,使用スキル名,スキルレベル
1677,ウィンドヴェナート,al_teleport,1
1677,ウィンドヴェナート,npc_blindattack,3
1677,ウィンドヴェナート,npc_emotion,1
1677,ウィンドヴェナート,npc_guidedattack,3
1677,ウィンドヴェナート,npc_stunattack,2
1677,ウィンドヴェナート,npc_windattack,3
1678,アースヴェナート,al_teleport,1
1678,アースヴェナート,npc_emotion,1
1678,アースヴェナート,npc_groundattack,3
1678,アースヴェナート,npc_guidedattack,3
1678,アースヴェナート,npc_randomattack,3
1678,アースヴェナート,npc_stunattack,2
1679,アイスヴェナート,al_teleport,1
1679,アイスヴェナート,npc_emotion,1
1679,アイスヴェナート,npc_guidedattack,3
1679,アイスヴェナート,npc_stunattack,2
1679,アイスヴェナート,npc_waterattack,3
1680,ヒルウィンド,mg_thunderstorm,5
1680,ヒルウィンド,npc_windattack,3
1680,ヒルウィンド,wz_jupitel,3
1681,ジェミニ-S58,al_teleport,1
1681,ジェミニ-S58,as_grimtooth,5
1681,ジェミニ-S58,kn_pierce,5
1681,ジェミニ-S58,npc_comboattack,1
1681,ジェミニ-S58,npc_emotion,1
1681,ジェミニ-S58,npc_piercingatt,10
1681,ジェミニ-S58,npc_selfdestruction,?
1681,ジェミニ-S58,wz_waterball,?
1682,リムーバ,npc_undeadattack,3
1682,リムーバ,sm_bash,5
1684,アークダム(警備兵),kn_spearstab,5
1684,アークダム(警備兵),npc_guidedattack,2
1684,アークダム(警備兵),npc_piercingatt,5
1684,アークダム(警備兵),npc_randomattack,3
1685,ヴェスパー,al_teleport,1
1685,ヴェスパー,npc_callslave,1
1685,ヴェスパー,npc_criticalslash,1
1685,ヴェスパー,npc_emotion,1
1685,ヴェスパー,npc_powerup,5
1685,ヴェスパー,npc_summonslave,3
1685,ヴェスパー,npc_summonslave,2
1685,ヴェスパー,wz_meteor,11
1686,オークベイビー,npc_emotion,1
1686,オークベイビー,npc_summonslave,2
1686,オークベイビー,sm_bash,5
1688,レディータニー,ac_chargearrow,1
1688,レディータニー,al_heal,11
1688,レディータニー,al_teleport,1
1688,レディータニー,am_potionpitcher,4
1688,レディータニー,npc_callslave,1
1688,レディータニー,npc_comboattack,1
1688,レディータニー,npc_criticalslash,1
1688,レディータニー,npc_defender,1
1688,レディータニー,npc_emotion,1
1688,レディータニー,npc_expulsion,1
1688,レディータニー,npc_guidedattack,5
1688,レディータニー,npc_powerup,5
1688,レディータニー,npc_stunattack,5
1688,レディータニー,npc_summonslave,5
1691,クラベン(取巻き),npc_comboattack,1
1691,クラベン(取巻き),npc_criticalslash,1
1691,クラベン(取巻き),npc_stoneskin,?
1691,クラベン(取巻き),npc_stunattack,1
1692,ブリーズ,npc_comboattack,2
1692,ブリーズ,npc_criticalslash,1
1692,ブリーズ,npc_defender,1
1692,ブリーズ,npc_windattack,3
1693,イエロープラズマ,mg_napalmbeat,7
1693,イエロープラズマ,mg_soulstrike,9
1693,イエロープラズマ,npc_stunattack,3
1693,イエロープラズマ,npc_telekinesisattack,5
1694,レッドプラズマ,mg_fireball,7
1694,レッドプラズマ,mg_fireball,5
1694,レッドプラズマ,mg_firebolt,7
1694,レッドプラズマ,npc_fireattack,3
1694,レッドプラズマ,npc_sleepattack,5
1695,グリーンプラズマ,mg_stonecurse,8
1695,グリーンプラズマ,npc_groundattack,3
1695,グリーンプラズマ,wz_earthspike,5
1695,グリーンプラズマ,wz_quagmire,5
1696,パープルプラズマ,npc_curseattack,3
1696,パープルプラズマ,npc_darknessattack,3
1696,パープルプラズマ,npc_darkstrike,9
1696,パープルプラズマ,npc_splashattack,1
1697,ブループラズマ,mg_coldbolt,6
1697,ブループラズマ,mg_frostdiver,9
1697,ブループラズマ,npc_waterattack,3
1697,ブループラズマ,wz_waterball,3
1698,デスワード,npc_blooddrain,1
1698,デスワード,npc_curseattack,3
1698,デスワード,npc_piercingatt,3
1698,デスワード,npc_splashattack,1
1699,エンシェントミミック,cr_autoguard,3
1699,エンシェントミミック,npc_blooddrain,1
1700,監視する者,al_heal,9
1700,監視する者,al_teleport,1
1700,監視する者,mg_safetywall,5
1700,監視する者,npc_expulsion,?
1700,監視する者,npc_holyattack,2
1700,監視する者,rg_intimidate,5
1700,監視する者,wz_jupitel,4
1701,保護する者,al_teleport,1
1701,保護する者,as_venomdust,1
1701,保護する者,npc_blindattack,7
1701,保護する者,npc_darknessattack,2
1701,保護する者,npc_darkthunder,4
1701,保護する者,npc_expulsion,?
1702,執行する者,al_teleport,1
1702,執行する者,npc_curseattack,3
1702,執行する者,npc_darkbreath,1
1702,執行する者,npc_darkcross,3
1702,執行する者,npc_darknessattack,2
1702,執行する者,npc_expulsion,?
1702,執行する者,npc_granddarkness,1
1703,慰める者,al_teleport,1
1703,慰める者,cr_grandcross,1
1703,慰める者,mg_napalmbeat,5
1703,慰める者,npc_expulsion,?
1703,慰める者,npc_holyattack,2
1703,慰める者,pr_lexaeterna,1
1703,慰める者,pr_lexdivina,10
1704,タナトスの憎悪,al_teleport,1
1704,タナトスの憎悪,npc_changedarkness,1
1704,タナトスの憎悪,npc_darknessattack,5
1704,タナトスの憎悪,npc_piercingatt,3
1704,タナトスの憎悪,npc_powerup,5
1704,タナトスの憎悪,npc_stop,1
1704,タナトスの憎悪,npc_telekinesisattack,3
1705,タナトスの絶望,al_teleport,1
1705,タナトスの絶望,npc_agiup,5
1705,タナトスの絶望,npc_criticalslash,1
1705,タナトスの絶望,npc_fireattack,4
1705,タナトスの絶望,npc_stunattack,4
1705,タナトスの絶望,npc_telekinesisattack,5
1705,タナトスの絶望,sm_provoke,5
1705,タナトスの絶望,wz_sightrasher,20
1706,タナトスの悲しみ,al_teleport,1
1706,タナトスの悲しみ,as_sonicblow,10
1706,タナトスの悲しみ,npc_darkstrike,9
1706,タナトスの悲しみ,npc_invisible,1
1706,タナトスの悲しみ,npc_telekinesisattack,5
1707,タナトスの苦悩,al_decagi,10
1707,タナトスの苦悩,al_heal,8
1707,タナトスの苦悩,al_teleport,1
1707,タナトスの苦悩,npc_darkthunder,9
1707,タナトスの苦悩,npc_magicalattack,1
1707,タナトスの苦悩,npc_mentalbreaker,2
1708,魔剣士タナトスの思念体,al_teleport,1
1708,魔剣士タナトスの思念体,bs_hammerfall,11
1708,魔剣士タナトスの思念体,kn_twohandquicken,20
1708,魔剣士タナトスの思念体,mg_soulstrike,10
1708,魔剣士タナトスの思念体,npc_callslave,1
1708,魔剣士タナトスの思念体,npc_changeholy,1
1708,魔剣士タナトスの思念体,npc_expulsion,1
1708,魔剣士タナトスの思念体,npc_powerup,5
1708,魔剣士タナトスの思念体,npc_summonslave,6
1708,魔剣士タナトスの思念体,sm_bash,10
1708,魔剣士タナトスの思念体,sm_provoke,10
1708,魔剣士タナトスの思念体,wz_meteor,11
1708,魔剣士タナトスの思念体,wz_stormgust,10
1708,魔剣士タナトスの思念体,wz_vermilion,20
1709,タナトスの憎悪(取巻き),al_teleport,1
1709,タナトスの憎悪(取巻き),npc_changedarkness,1
1709,タナトスの憎悪(取巻き),npc_darknessattack,5
1709,タナトスの憎悪(取巻き),npc_piercingatt,3
1709,タナトスの憎悪(取巻き),npc_powerup,5
1709,タナトスの憎悪(取巻き),npc_stop,1
1709,タナトスの憎悪(取巻き),npc_telekinesisattack,3
1710,タナトスの絶望(取巻き),al_teleport,1
1710,タナトスの絶望(取巻き),npc_agiup,5
1710,タナトスの絶望(取巻き),npc_criticalslash,1
1710,タナトスの絶望(取巻き),npc_fireattack,4
1710,タナトスの絶望(取巻き),npc_stunattack,4
1710,タナトスの絶望(取巻き),npc_telekinesisattack,5
1710,タナトスの絶望(取巻き),sm_provoke,10
1710,タナトスの絶望(取巻き),wz_sightrasher,20
1711,タナトスの悲しみ(取巻き),al_teleport,1
1711,タナトスの悲しみ(取巻き),as_sonicblow,10
1711,タナトスの悲しみ(取巻き),npc_darkstrike,9
1711,タナトスの悲しみ(取巻き),npc_invisible,1
1711,タナトスの悲しみ(取巻き),npc_telekinesisattack,5
1712,タナトスの苦悩(取巻き),al_decagi,10
1712,タナトスの苦悩(取巻き),al_heal,11
1712,タナトスの苦悩(取巻き),al_heal,9
1712,タナトスの苦悩(取巻き),al_teleport,1
1712,タナトスの苦悩(取巻き),npc_darkthunder,9
1712,タナトスの苦悩(取巻き),npc_magicalattack,1
1712,タナトスの苦悩(取巻き),npc_mentalbreaker,2
1713,ゴールドオシドス,al_teleport,1
1713,ゴールドオシドス,mg_fireball,9
1713,ゴールドオシドス,npc_criticalslash,1
1713,ゴールドオシドス,npc_fireattack,6
1713,ゴールドオシドス,npc_stunattack,5
1713,ゴールドオシドス,sm_magnum,9
1713,ゴールドオシドス,wz_firepillar,3
1714,レッドペロス,al_teleport,1
1714,レッドペロス,kn_brandishspear,20
1714,レッドペロス,kn_spearstab,10
1714,レッドペロス,npc_comboattack,2
1714,レッドペロス,npc_criticalslash,1
1714,レッドペロス,npc_emotion,1
1714,レッドペロス,npc_fireattack,5
1715,レッドノーバス,al_teleport,?
1715,レッドノーバス,npc_blooddrain,1
1715,レッドノーバス,npc_comboattack,1
1715,レッドノーバス,npc_emotion,1
1715,レッドノーバス,npc_piercingatt,2
1715,レッドノーバス,sm_bash,5
1716,ブルーオシドス,al_teleport,1
1716,ブルーオシドス,mg_lightningbolt,8
1716,ブルーオシドス,mg_thunderstorm,9
1716,ブルーオシドス,npc_windattack,6
1717,グリーンペロス,al_teleport,1
1717,グリーンペロス,kn_brandishspear,20
1717,グリーンペロス,kn_spearstab,10
1717,グリーンペロス,npc_comboattack,2
1717,グリーンペロス,npc_emotion,1
1717,グリーンペロス,npc_groundattack,5
1717,グリーンペロス,npc_piercingatt,5
1717,グリーンペロス,sm_provoke,10
1718,イエローノーバス,al_teleport,?
1718,イエローノーバス,npc_comboattack,?
1718,イエローノーバス,npc_emotion,1
1718,イエローノーバス,npc_hallucination,1
1718,イエローノーバス,npc_silenceattack,3
1718,イエローノーバス,sm_bash,5
1719,データルザウルス,al_heal,11
1719,データルザウルス,al_teleport,1
1719,データルザウルス,cr_reflectshield,5
1719,データルザウルス,mg_fireball,20
1719,データルザウルス,npc_armorbrake,10
1719,データルザウルス,npc_callslave,1
1719,データルザウルス,npc_criticalslash,1
1719,データルザウルス,npc_darkbreath,5
1719,データルザウルス,npc_dragonfear,5
1719,データルザウルス,npc_firebreath,5
1719,データルザウルス,npc_powerup,5
1719,データルザウルス,npc_summonslave,1
1719,データルザウルス,npc_weaponbraker,10
1719,データルザウルス,sm_magnum,20
1719,データルザウルス,sm_provoke,10
1719,データルザウルス,wz_meteor,11
1719,データルザウルス,wz_vermilion,20
1720,ハイドラランサー,al_heal,11
1720,ハイドラランサー,al_teleport,1
1720,ハイドラランサー,as_sonicblow,10
1720,ハイドラランサー,npc_callslave,1
1720,ハイドラランサー,npc_comboattack,2
1720,ハイドラランサー,npc_criticalslash,1
1720,ハイドラランサー,npc_darkbreath,4
1720,ハイドラランサー,npc_powerup,3
1720,ハイドラランサー,npc_randomattack,5
1720,ハイドラランサー,npc_summonslave,4
1720,ハイドラランサー,wz_meteor,11
1721,ドラゴンの卵,npc_metamorphosis,1
1733,キエル,al_pneuma,1
1733,キエル,al_teleport,1
1733,キエル,kn_brandishspear,6
1733,キエル,mg_safetywall,10
1733,キエル,pr_lexaeterna,1
1733,キエル,pr_lexdivina,5
1733,キエル,sm_bash,10
1733,キエル,sm_endure,10
1733,キエル,sm_magnum,5
1734,キエル-D-01,al_heal,11
1734,キエル-D-01,al_pneuma,1
1734,キエル-D-01,al_teleport,1
1734,キエル-D-01,hw_ganbantein,5
1734,キエル-D-01,kn_brandishspear,20
1734,キエル-D-01,mg_safetywall,10
1734,キエル-D-01,npc_callslave,1
1734,キエル-D-01,npc_darkblessing,1
1734,キエル-D-01,npc_powerup,4
1734,キエル-D-01,npc_summonslave,6
1734,キエル-D-01,npc_widesilence,5
1734,キエル-D-01,pr_lexaeterna,1
1734,キエル-D-01,pr_lexdivina,5
1734,キエル-D-01,sm_bash,10
1734,キエル-D-01,sm_endure,10
1734,キエル-D-01,sm_magnum,20
1735,エリセル,al_teleport,?
1735,エリセル,mo_bodyrelocation,1
1735,エリセル,npc_darknessattack,3
1735,エリセル,npc_emotion,1
1735,エリセル,npc_guidedattack,1
1735,エリセル,npc_rebirth,?
1736,エリオット,bs_maximize,5
1736,エリオット,cr_autoguard,5
1736,エリオット,kn_spearstab,10
1736,エリオット,npc_criticalslash,1
1736,エリオット,npc_rebirth,3
1736,エリオット,npc_splashattack,1
1737,エリザ,al_heal,5
1737,エリザ,npc_emotion,1
1737,エリザ,sm_bash,10
1738,コンスタント,npc_selfdestruction,1
1739,エリセル(取巻き),mo_bodyrelocation,1
1739,エリセル(取巻き),npc_darknessattack,3
1739,エリセル(取巻き),npc_emotion,1
1739,エリセル(取巻き),npc_guidedattack,1
1740,エリオット(取巻き),bs_maximize,5
1740,エリオット(取巻き),cr_autoguard,5
1740,エリオット(取巻き),kn_spearstab,10
1740,エリオット(取巻き),npc_criticalslash,1
1740,エリオット(取巻き),npc_rebirth,3
1740,エリオット(取巻き),npc_splashattack,1
1741,クリスマスクッキー(取巻き),mg_coldbolt,3
1741,クリスマスクッキー(取巻き),npc_emotion,1
1741,クリスマスクッキー(取巻き),npc_holyattack,1
1741,クリスマスクッキー(取巻き),pr_lexaeterna,1
1742,ジェスター(取巻き),npc_emotion,1
1742,ジェスター(取巻き),npc_hallucination,1
1742,ジェスター(取巻き),npc_windattack,1
1742,ジェスター(取巻き),sm_provoke,10
1743,ミストケース(取巻き),al_teleport,1
1743,ミストケース(取巻き),kn_spearstab,5
1743,ミストケース(取巻き),mc_mammonite,5
1743,ミストケース(取巻き),npc_emotion,1
1743,ミストケース(取巻き),npc_hallucination,1
1744,ワイルドローズ(取巻き),as_sonicblow,5
1744,ワイルドローズ(取巻き),npc_emotion,1
1744,ワイルドローズ(取巻き),npc_windattack,1
1745,コンスタント(取巻き),npc_selfdestruction,1
1746,エリザ(取巻き),al_heal,5
1746,エリザ(取巻き),npc_emotion,1
1746,エリザ(取巻き),sm_bash,10
1751,ランドグリス,al_teleport,1
1751,ランドグリス,as_sonicblow,10
1751,ランドグリス,cr_holycross,10
1751,ランドグリス,hp_assumptio,5
1751,ランドグリス,hw_ganbantein,5
1751,ランドグリス,kn_brandishspear,20
1751,ランドグリス,kn_twohandquicken,20
1751,ランドグリス,mg_thunderstorm,15
1751,ランドグリス,npc_agiup,5
1751,ランドグリス,npc_callslave,1
1751,ランドグリス,npc_earthquake,5
1751,ランドグリス,npc_holyattack,10
1751,ランドグリス,npc_powerup,5
1751,ランドグリス,npc_pulsestrike,5
1751,ランドグリス,npc_summonslave,3
1751,ランドグリス,sa_dispell,5
1751,ランドグリス,wz_vermilion,20
1752,スコグル,as_grimtooth,5
1752,スコグル,mg_soulstrike,5
1752,スコグル,npc_curseattack,5
1752,スコグル,npc_darknessattack,5
1752,スコグル,npc_summonslave,1
1752,スコグル,tf_hiding,1
1753,プルス,mg_firewall,5
1753,プルス,npc_changeundead,2
1753,プルス,npc_darknessattack,5
1753,プルス,npc_poison,5
1753,プルス,npc_summonslave,1
1753,プルス,rg_striparmor,3
1754,スケゴルトブラウン,al_decagi,10
1754,スケゴルトブラウン,al_heal,9
1754,スケゴルトブラウン,al_teleport,1
1754,スケゴルトブラウン,mg_safetywall,10
1754,スケゴルトブラウン,mg_thunderstorm,7
1754,スケゴルトブラウン,npc_callslave,1
1754,スケゴルトブラウン,npc_expulsion,?
1754,スケゴルトブラウン,npc_holyattack,3
1754,スケゴルトブラウン,npc_mentalbreaker,?
1754,スケゴルトブラウン,npc_petrifyattack,2
1754,スケゴルトブラウン,rg_striparmor,3
1754,スケゴルトブラウン,sa_reverseorcish,1
1755,スケゴルトブラック,al_heal,9
1755,スケゴルトブラック,al_teleport,1
1755,スケゴルトブラック,cr_holycross,3
1755,スケゴルトブラック,mg_safetywall,10
1755,スケゴルトブラック,mg_soulstrike,7
1755,スケゴルトブラック,npc_callslave,1
1755,スケゴルトブラック,npc_expulsion,?
1755,スケゴルトブラック,npc_holyattack,3
1755,スケゴルトブラック,npc_mentalbreaker,?
1755,スケゴルトブラック,sa_reverseorcish,1
1756,ハイドラランサー(取巻き),al_heal,11
1756,ハイドラランサー(取巻き),al_teleport,1
1756,ハイドラランサー(取巻き),as_sonicblow,10
1756,ハイドラランサー(取巻き),npc_callslave,1
1756,ハイドラランサー(取巻き),npc_comboattack,2
1756,ハイドラランサー(取巻き),npc_criticalslash,1
1756,ハイドラランサー(取巻き),npc_darkbreath,4
1756,ハイドラランサー(取巻き),npc_powerup,3
1756,ハイドラランサー(取巻き),npc_randomattack,5
1756,ハイドラランサー(取巻き),npc_summonslave,4
1756,ハイドラランサー(取巻き),wz_meteor,10
1757,オシドス(金)(取巻き),mg_fireball,9
1757,オシドス(金)(取巻き),npc_criticalslash,1
1757,オシドス(金)(取巻き),npc_fireattack,6
1757,オシドス(金)(取巻き),npc_stunattack,5
1757,オシドス(金)(取巻き),sm_magnum,9
1757,オシドス(金)(取巻き),wz_firepillar,3
1758,ペロス(赤)(取巻き),kn_brandishspear,20
1758,ペロス(赤)(取巻き),kn_spearstab,10
1758,ペロス(赤)(取巻き),npc_comboattack,2
1758,ペロス(赤)(取巻き),npc_criticalslash,1
1758,ペロス(赤)(取巻き),npc_emotion,1
1758,ペロス(赤)(取巻き),npc_fireattack,5
1759,オシドス(青)(取巻き),mg_lightningbolt,8
1759,オシドス(青)(取巻き),mg_thunderstorm,9
1759,オシドス(青)(取巻き),npc_stop,1
1759,オシドス(青)(取巻き),npc_windattack,6
1760,ペロス(緑)(取巻き),kn_brandishspear,20
1760,ペロス(緑)(取巻き),kn_spearstab,10
1760,ペロス(緑)(取巻き),npc_comboattack,2
1760,ペロス(緑)(取巻き),npc_emotion,1
1760,ペロス(緑)(取巻き),npc_groundattack,5
1760,ペロス(緑)(取巻き),npc_piercingatt,5
1760,ペロス(緑)(取巻き),sm_provoke,10
1761,スコグル(取巻き),as_grimtooth,5
1761,スコグル(取巻き),mg_soulstrike,5
1761,スコグル(取巻き),npc_curseattack,5
1761,スコグル(取巻き),npc_darknessattack,5
1761,スコグル(取巻き),tf_hiding,1
1762,プルス(取巻き),mg_firewall,5
1762,プルス(取巻き),npc_changeundead,2
1762,プルス(取巻き),npc_darknessattack,5
1762,プルス(取巻き),npc_poison,5
1762,プルス(取巻き),rg_striparmor,3
1763,スケゴルトブラウン(取巻き),al_decagi,5
1763,スケゴルトブラウン(取巻き),al_teleport,1
1763,スケゴルトブラウン(取巻き),mg_safetywall,5
1763,スケゴルトブラウン(取巻き),mg_thunderstorm,4
1763,スケゴルトブラウン(取巻き),npc_holyattack,2
1763,スケゴルトブラウン(取巻き),npc_petrifyattack,2
1764,スケゴルトブラック(取巻き),al_teleport,1
1764,スケゴルトブラック(取巻き),cr_holycross,2
1764,スケゴルトブラック(取巻き),mg_safetywall,5
1764,スケゴルトブラック(取巻き),mg_soulstrike,5
1764,スケゴルトブラック(取巻き),npc_holyattack,2
1765,ランドグリスゴースト,al_heal,11
1765,ランドグリスゴースト,al_heal,10
1765,ランドグリスゴースト,al_teleport,1
1765,ランドグリスゴースト,as_sonicblow,10
1765,ランドグリスゴースト,kn_brandishspear,20
1765,ランドグリスゴースト,npc_armorbrake,10
1765,ランドグリスゴースト,npc_holyattack,10
1765,ランドグリスゴースト,wz_jupitel,28
1768,グルームアンダーナイト,al_teleport,1
1768,グルームアンダーナイト,am_demonstration,5
1768,グルームアンダーナイト,kn_pierce,10
1768,グルームアンダーナイト,mg_fireball,20
1768,グルームアンダーナイト,npc_callslave,1
1768,グルームアンダーナイト,npc_fireattack,10
1768,グルームアンダーナイト,npc_firebreath,10
1768,グルームアンダーナイト,npc_powerup,5
1768,グルームアンダーナイト,npc_summonslave,4
1768,グルームアンダーナイト,npc_telekinesisattack,10
1768,グルームアンダーナイト,sm_magnum,20
1768,グルームアンダーナイト,wz_firepillar,11
1768,グルームアンダーナイト,wz_sightrasher,20
1769,アガヴ,al_decagi,10
1769,アガヴ,al_heal,9
1769,アガヴ,mg_safetywall,10
1769,アガヴ,mg_sight,1
1769,アガヴ,mg_soulstrike,9
1769,アガヴ,mg_thunderstorm,9
1769,アガヴ,npc_curseattack,5
1769,アガヴ,npc_holyattack,3
1769,アガヴ,pr_lexdivina,1
1770,エキオ,as_sonicblow,5
1770,エキオ,bs_maximize,5
1770,エキオ,cr_holycross,5
1770,エキオ,npc_criticalslash,1
1770,エキオ,npc_holyattack,3
1770,エキオ,npc_sleepattack,4
1770,エキオ,pr_lexaeterna,1
1770,エキオ,sm_bash,7
1771,ヴァンベルク,as_sonicblow,5
1771,ヴァンベルク,bs_maximize,5
1771,ヴァンベルク,cr_holycross,3
1771,ヴァンベルク,npc_sleepattack,3
1771,ヴァンベルク,pr_lexaeterna,1
1772,アイシラ,al_heal,5
1772,アイシラ,mg_thunderstorm,5
1772,アイシラ,npc_curseattack,5
1772,アイシラ,npc_holyattack,2
1772,アイシラ,pr_lexdivina,1
1773,ホドレムリン,as_sonicblow,5
1773,ホドレムリン,npc_blindattack,3
1773,ホドレムリン,npc_criticalslash,1
1773,ホドレムリン,npc_darknessattack,2
1773,ホドレムリン,npc_emotion,1
1773,ホドレムリン,rg_striparmor,5
1774,シーカー,mo_bodyrelocation,1
1774,シーカー,npc_mentalbreaker,3
1774,シーカー,npc_petrifyattack,3
1774,シーカー,sa_dispell,1
1774,シーカー,wz_jupitel,4
1775,スノウアー,bs_hammerfall,3
1775,スノウアー,npc_criticalslash,1
1775,スノウアー,npc_splashattack,1
1775,スノウアー,npc_waterattack,4
1775,スノウアー,npc_waterattack,2
1775,スノウアー,sm_bash,5
1775,スノウアー,sm_endure,3
1776,シロマ,npc_emotion,1
1776,シロマ,npc_silenceattack,2
1776,シロマ,npc_stunattack,2
1776,シロマ,npc_waterattack,2
1776,シロマ,sa_reverseorcish,1
1777,アイスタイタン,mg_frostdiver,7
1777,アイスタイタン,mg_frostdiver,5
1777,アイスタイタン,npc_comboattack,1
1777,アイスタイタン,npc_waterattack,3
1778,ゲイズティ,cr_autoguard,3
1778,ゲイズティ,mg_coldbolt,5
1778,ゲイズティ,mg_coldbolt,3
1778,ゲイズティ,npc_guidedattack,2
1778,ゲイズティ,npc_waterattack,2
1779,クトルラナックス,al_heal,11
1779,クトルラナックス,al_teleport,1
1779,クトルラナックス,mg_frostdiver,10
1779,クトルラナックス,npc_agiup,5
1779,クトルラナックス,npc_armorbrake,10
1779,クトルラナックス,npc_callslave,1
1779,クトルラナックス,npc_powerup,5
1779,クトルラナックス,npc_randomattack,8
1779,クトルラナックス,npc_summonslave,4
1779,クトルラナックス,npc_waterattack,10
1779,クトルラナックス,npc_widefreeze,5
1779,クトルラナックス,sa_dispell,5
1779,クトルラナックス,wz_frostnova,10
1779,クトルラナックス,wz_stormgust,10
1779,クトルラナックス,wz_waterball,10
1780,マスキプラー,al_heal,9
1780,マスキプラー,kn_spearstab,5
1780,マスキプラー,npc_blooddrain,1
1780,マスキプラー,npc_groundattack,1
1780,マスキプラー,npc_petrifyattack,5
1781,ドロセラ,kn_pierce,5
1781,ドロセラ,npc_blooddrain,1
1781,ドロセラ,npc_groundattack,1
1781,ドロセラ,npc_guidedattack,3
1781,ドロセラ,npc_sleepattack,5
1781,ドロセラ,rg_closeconfine,1
1782,ロウィーン,npc_comboattack,4
1782,ロウィーン,npc_emotion,1
1782,ロウィーン,npc_windattack,2
1783,ガリオン,al_teleport,1
1783,ガリオン,as_sonicblow,5
1783,ガリオン,npc_comboattack,1
1783,ガリオン,npc_darknessattack,1
1783,ガリオン,npc_emotion,1
1783,ガリオン,npc_windattack,3
1784,スタポ,npc_keeping,1
1784,スタポ,sm_bash,3
1785,アトロス,al_teleport,1
1785,アトロス,kn_twohandquicken,20
1785,アトロス,npc_bleeding,5
1785,アトロス,npc_callslave,1
1785,アトロス,npc_darknessattack,3
1785,アトロス,npc_defender,1
1785,アトロス,npc_powerup,2
1785,アトロス,npc_pulsestrike,5
1785,アトロス,npc_summonslave,3
1785,アトロス,sm_bash,10
1785,アトロス,sm_magnum,20
1786,アガヴ(取巻き),al_decagi,10
1786,アガヴ(取巻き),al_heal,9
1786,アガヴ(取巻き),mg_safetywall,10
1786,アガヴ(取巻き),mg_sight,1
1786,アガヴ(取巻き),mg_soulstrike,9
1786,アガヴ(取巻き),mg_thunderstorm,9
1786,アガヴ(取巻き),npc_curseattack,5
1786,アガヴ(取巻き),npc_holyattack,3
1786,アガヴ(取巻き),pr_lexdivina,1
1787,エキオ(取巻き),as_sonicblow,5
1787,エキオ(取巻き),bs_maximize,5
1787,エキオ(取巻き),cr_holycross,5
1787,エキオ(取巻き),npc_criticalslash,1
1787,エキオ(取巻き),npc_holyattack,3
1787,エキオ(取巻き),npc_sleepattack,4
1787,エキオ(取巻き),pr_lexaeterna,1
1787,エキオ(取巻き),sm_bash,7
1788,アイスタイタン(取巻き),mg_frostdiver,7
1788,アイスタイタン(取巻き),mg_frostdiver,5
1788,アイスタイタン(取巻き),npc_comboattack,1
1788,アイスタイタン(取巻き),npc_waterattack,3
1791,ガリオン(取巻き),al_teleport,1
1791,ガリオン(取巻き),as_sonicblow,5
1791,ガリオン(取巻き),npc_comboattack,1
1791,ガリオン(取巻き),npc_darknessattack,3
1791,ガリオン(取巻き),npc_emotion,1
1791,ガリオン(取巻き),npc_windattack,3
1793,メガリス(取巻き),npc_emotion,1
1794,ロウィーン(取巻き),npc_comboattack,4
1794,ロウィーン(取巻き),npc_emotion,1
1794,ロウィーン(取巻き),npc_windattack,2
1796,アウノエ,al_heal,5
1796,アウノエ,mg_thunderstorm,5
1796,アウノエ,npc_curseattack,5
1796,アウノエ,npc_holyattack,2
1796,アウノエ,pr_lexdivina,1
1797,ファナト,as_sonicblow,5
1797,ファナト,bs_maximize,5
1797,ファナト,cr_holycross,3
1797,ファナト,npc_sleepattack,3
1797,ファナト,pr_lexaeterna,1
1805,セイレン=ウィンザー(転生二次職)(オーラ)(取巻き),kn_spearboomerang,?
1805,セイレン=ウィンザー(転生二次職)(オーラ)(取巻き),kn_twohandquicken,?
1805,セイレン=ウィンザー(転生二次職)(オーラ)(取巻き),lk_spiralpierce,?
1805,セイレン=ウィンザー(転生二次職)(オーラ)(取巻き),npc_criticalslash,?
1805,セイレン=ウィンザー(転生二次職)(オーラ)(取巻き),npc_fireattack,?
1805,セイレン=ウィンザー(転生二次職)(オーラ)(取巻き),npc_powerup,?
1805,セイレン=ウィンザー(転生二次職)(オーラ)(取巻き),npc_stunattack,?
1805,セイレン=ウィンザー(転生二次職)(オーラ)(取巻き),sm_bash,?
1805,セイレン=ウィンザー(転生二次職)(オーラ)(取巻き),sm_endure,?
1805,セイレン=ウィンザー(転生二次職)(オーラ)(取巻き),sm_magnum,?
1805,セイレン=ウィンザー(転生二次職)(オーラ)(取巻き),sm_provoke,?
1806,エレメス=ガイル(転生二次職)(オーラ)(取巻き),as_grimtooth,?
1806,エレメス=ガイル(転生二次職)(オーラ)(取巻き),as_sonicblow,?
1806,エレメス=ガイル(転生二次職)(オーラ)(取巻き),as_venomdust,?
1806,エレメス=ガイル(転生二次職)(オーラ)(取巻き),asc_breaker,?
1806,エレメス=ガイル(転生二次職)(オーラ)(取巻き),asc_meteorassault,?
1806,エレメス=ガイル(転生二次職)(オーラ)(取巻き),npc_agiup,?
1806,エレメス=ガイル(転生二次職)(オーラ)(取巻き),npc_criticalslash,?
1806,エレメス=ガイル(転生二次職)(オーラ)(取巻き),npc_guidedattack,?
1806,エレメス=ガイル(転生二次職)(オーラ)(取巻き),npc_invisible,?
