モンスタID,モンスタ名,ひらがな名,Level,Hp,Str,Agi,Vit,Int,Dex,Luk,Atk1,Atk2,Def,Mdef,BaseExp,JobExp,Size,属性,種族,BOSS属性,MvpExp,アクティブ属性,リンク属性,詠唱反応,ルート属性,ニューマ有効,固定,召還モンスタ
1513,ミョグェ,みょぐぇ,72,12334,67,26,40,65,32,4,576,61,9,56,3022,4557,1,44,2,0,0,1,0,0,0,0,0,
1514,小龍舞,こりゅうまい,54,7831,59,16,40,30,21,3,392,35,8,36,578,852,1,44,9,0,0,0,0,0,1,0,0,
1515,ハティーベベ,はてぃーべべ,81,22313,69,41,55,61,18,45,744,61,62,43,6120,3321,1,41,2,0,0,1,0,0,0,0,0,
1516,土精,つちせい,51,5730,67,3,41,49,18,2,495,30,6,39,660,883,1,62,0,0,0,0,0,1,0,0,0,
1517,虎人,こじん,48,5074,61,12,33,35,22,2,356,41,7,37,812,1259,1,62,6,0,0,1,0,0,0,0,0,
1519,チュンイー(取巻き),ちゅんいー(とりまき),89,20486,66,29,36,48,36,4,850,63,9,15,0,0,1,44,7,0,0,1,0,1,0,0,0,3613(1)/3614(1)/3615(1)/3617(1)/3618(1)/3619(1)
1522,エンシェントマミー(取巻き),えんしぇんとまみー(とりまき),94,91590,126,57,55,69,112,15,1197,200,93,51,0,0,1,49,1,0,0,1,0,1,0,0,0,1805(1)/1807(1)/1808(1)/1809(1)/1810(1)
1523,銃奇兵(取巻き),じゅうきへい(とりまき),35,3301,17,24,30,10,53,30,110,45,72,30,0,0,1,49,1,0,0,1,0,0,0,0,0,
1525,バースリー(取巻き),ばーすりー(とりまき),80,4885,24,16,10,11,20,41,309,121,39,49,0,0,1,27,7,0,0,1,0,1,0,0,0,
1527,時計塔管理者(アリーナ),とけいとうかんりしゃ(ありーな),77,16776,80,28,40,25,73,45,438,78,49,56,0,0,2,80,0,0,0,0,0,1,0,0,0,1756(1)
1528,クロック(アリーナ),くろっく(ありーな),52,5620,20,3,20,8,87,2,774,90,21,3,0,0,1,42,0,0,0,0,0,1,0,0,0,
1529,黒蛇王(アリーナ),こくだおう(ありーな),73,305991,122,172,107,135,196,88,811,1986,314,185,0,0,2,68,2,1,0,1,0,1,0,0,0,
1530,ドラキュラ(アリーナ),どらきゅら(ありーな),85,384115,86,99,88,92,145,82,690,1812,152,146,0,0,2,87,6,1,0,1,0,1,0,0,0,
1531,天邪仙人(取巻き),てんじゃせんにん(とりまき),56,8392,63,57,45,60,99,45,373,30,66,46,0,0,2,40,0,0,0,1,0,0,0,1,0,
1532,エクスプロージョン(アリーナ),えくすぷろーじょん(ありーな),86,129797,66,53,65,88,72,27,345,106,56,50,0,0,0,63,2,0,0,1,0,0,0,0,0,
1534,ゴブリン長男(MSS),ごぶりんちょうなん(MSS),55,6008,17,21,25,20,21,10,204,34,56,5,0,0,1,24,7,0,0,1,0,1,0,0,0,
1541,天下大将軍(取巻き),てんかだいしょうぐん(とりまき),40,3113,58,30,20,25,25,20,161,26,114,30,0,0,1,43,0,0,0,1,0,0,0,0,0,
1543,河童(取巻き),かっぱ(とりまき),53,6764,67,29,40,31,61,24,275,32,61,38,0,0,1,21,5,0,0,1,0,0,0,0,0,
1545,アックスコボルド(取巻き),あっくすこぼるど(とりまき),55,7336,109,31,61,53,52,30,203,87,103,25,0,0,1,44,7,0,0,1,0,0,0,0,0,
1546,ハンマーコボルド(取巻き),はんまーこぼるど(とりまき),53,6187,40,21,55,48,49,20,185,62,117,59,0,0,1,45,7,0,0,1,0,0,0,0,0,
1547,メイスコボルド(取巻き),めいすこぼるど(とりまき),51,5980,50,24,59,42,37,20,167,64,109,48,0,0,1,43,7,0,0,1,0,0,0,0,0,
1549,ラーヴァゴーレム(取巻き),らーヴぁごーれむ(とりまき),110,90849,126,42,83,28,43,15,2517,53,825,27,0,0,2,83,0,0,0,1,0,1,0,0,0,
1550,人面桃樹(取巻き),じんめんとうじゅ(とりまき),50,4446,76,9,55,40,55,50,432,72,109,40,0,0,1,42,3,0,0,1,0,0,0,0,0,
1551,マルス(取巻き),まるす(とりまき),56,5314,11,17,25,10,33,10,148,20,38,18,0,0,0,41,5,0,0,0,0,1,0,0,0,
1552,雅人形(取巻き),みやびにんぎょう(とりまき),43,5400,66,30,30,55,73,40,111,66,57,19,0,0,1,27,6,0,0,0,0,1,0,0,0,
1553,ミスト(取巻き),みすと(とりまき),28,1210,15,17,20,10,41,10,76,20,61,10,0,0,2,25,0,0,0,1,0,1,0,0,0,
1554,ナイトメアテラー(取巻き),ないとめあてらー(とりまき),108,19376,118,53,55,63,53,43,765,126,78,37,0,0,2,67,6,0,0,1,0,0,0,0,0,
1555,フェアリーフ(取巻き),ふぇありーふ(とりまき),40,1793,55,7,33,50,44,40,384,45,63,30,0,0,1,44,3,0,0,1,0,0,0,1,0,
1556,大口蛙(取巻き),おおぐちがえる(とりまき),52,5681,66,42,40,45,58,30,266,54,80,42,0,0,1,45,2,0,0,0,0,0,0,0,0,
1557,ロータージャイロ(取巻き),ろーたーじゃいろ(とりまき),75,9136,19,30,45,26,31,5,438,40,57,34,0,0,2,44,0,0,0,1,0,0,0,0,0,
1558,サンドマン(取巻き),さんどまん(とりまき),41,3625,44,8,55,15,31,25,115,56,126,24,0,0,1,62,0,0,0,1,0,0,0,0,0,
1559,スコーピオン(取巻き),すこーぴおん(とりまき),34,3950,22,25,20,15,29,25,140,7,16,5,0,0,0,23,4,0,0,1,0,0,0,0,0,
1560,カブキ忍者(取巻き),かぶきにんじゃ(とりまき),69,12700,71,70,55,30,69,30,590,51,49,45,0,0,1,67,7,0,0,1,0,1,0,0,0,
1562,ソルジャースケルトン(取巻き),そるじゃーすけるとん(とりまき),29,3920,4,10,32,5,29,3,87,14,53,5,0,0,1,29,1,0,0,1,0,0,0,0,0,
1563,酒天狗(取巻き),さけてんぐ(とりまき),65,11940,99,38,40,30,67,60,525,83,134,46,0,0,2,42,6,0,0,1,0,0,0,0,0,
1564,天仙娘々(取巻き),てんせんにゃんにゃん(とりまき),73,10739,84,46,45,70,77,60,545,128,46,45,0,0,1,67,6,0,0,1,0,1,0,0,0,
1565,老人参(取巻き),ろうにんじん(とりまき),71,9900,25,51,60,60,76,50,495,71,56,62,0,0,0,43,3,0,0,0,0,1,0,0,0,
1566,デッドリーレイス(取巻き),でっどりーれいす(とりまき),135,112168,63,69,55,45,88,45,1015,60,88,56,0,0,2,89,1,0,0,1,0,1,0,0,0,
1567,エンシェントワーム(アリーナ),えんしぇんとわーむ(ありーな),138,116784,70,56,56,55,70,42,1068,35,90,41,0,0,2,25,4,0,0,1,0,1,0,0,0,
1568,エンジェリング(取巻き),えんじぇりんぐ(とりまき),77,65000,58,50,33,105,67,200,415,145,72,238,0,0,1,86,8,1,0,1,0,1,0,0,0,
1569,ブラッディナイト(取巻き),ぶらっでぃないと(とりまき),138,199603,121,52,55,57,92,35,2272,423,122,50,0,0,2,87,0,0,0,1,0,1,0,0,0,
1570,クランプ(アリーナ),くらんぷ(ありーな),60,3988,50,5,4,6,7,4,241,62,18,20,0,0,0,45,2,0,0,1,0,1,0,0,0,
1572,ドロップス(取巻き),どろっぷす(とりまき),3,102,8,1,1,0,6,2,3,1,16,0,3,2,1,23,3,0,0,0,0,0,1,0,0,3600(1)/3601(1)/3602(1)/3603(1)/3604(1)/3606(1)
1573,エルダー(アリーナ),えるだー(ありーな),64,9507,67,63,35,99,88,61,126,402,72,41,0,0,2,80,7,0,0,1,0,0,0,0,0,
1575,フローラ(取巻き),ふろーら(とりまき),30,1000,49,5,35,5,33,80,245,31,99,29,0,0,2,22,3,0,0,1,0,0,0,0,0,
1576,ゴーストリング(アリーナ),ごーすとりんぐ(ありーな),77,73300,66,85,66,66,99,66,425,162,88,72,0,0,1,88,6,1,0,1,0,1,0,0,0,
1578,ホロン(取巻き),ほろん(とりまき),74,9661,36,32,35,45,56,25,424,70,352,35,0,0,0,83,0,0,0,1,0,0,0,0,0,
1579,ヒドラ(取巻き),ひどら(とりまき),20,600,10,3,14,0,22,2,153,6,20,32,0,0,0,41,3,0,0,1,0,0,0,1,1,
1580,インキュバス(アリーナ),いんきゅばす(ありーな),75,14812,120,56,52,75,99,70,756,175,72,46,0,0,1,67,6,0,0,1,0,1,0,0,0,
1581,ボーカル(取巻き),ぼーかる(とりまき),42,4585,77,26,26,30,53,40,132,11,77,26,0,0,1,22,4,0,0,1,0,1,0,0,0,
1582,デビルリング,でびるりんぐ,77,79087,48,50,33,75,77,200,455,183,67,70,8310,8610,1,87,6,1,0,1,0,1,0,0,0,1595(6)/1433(1)
1583,タオグンカ,たおぐんか,90,1093000,135,175,98,110,199,66,3297,1260,404,143,118617,56920,2,60,6,1,29587,1,0,1,0,0,0,1793(5)
1584,タムラン,たむらん,82,28210,58,38,40,20,61,20,727,137,63,30,9518,6187,2,67,6,0,0,1,0,0,0,0,0,
1586,リーフキャット,りーふきゃっと,61,162054,36,21,12,45,23,29,353,41,88,16,14204,9080,0,22,2,0,0,0,0,0,1,0,0,
1587,クラベン,くらべん,50,3270,54,99,420,15,62,20,460,45,108,20,849,1380,1,88,0,0,0,1,0,1,0,0,0,
1588,サンタオーク,さんたおーく,24,1680,1,24,48,25,34,10,52,11,16,5,261,160,1,22,7,1,0,0,0,0,0,0,0,
1589,マンドラゴラ(取巻き),まんどらごら(とりまき),10,300,12,1,5,5,11,5,81,3,13,2,0,0,1,62,3,0,0,1,0,0,0,1,1,
1590,ジオグラファー(取巻き),じおぐらふぁー(とりまき),56,9685,1,26,35,56,60,60,233,77,158,42,0,0,1,62,3,0,0,1,0,0,0,0,1,
1592,チンピラ(イベント),ちんぴら,40,8000,1,50,45,45,73,30,150,27,20,27,0,0,1,20,7,0,0,0,0,1,0,0,0,
1594,フリーズタートル(取巻き),ふりーずたーとる(とりまき),81,100000,68,47,50,45,55,25,789,50,957,38,0,0,1,41,2,0,0,1,0,1,0,0,0,
1595,マーリン(取巻き),まーりん(とりまき),15,536,7,5,10,5,30,15,13,0,0,8,0,0,1,41,3,0,0,0,0,0,0,0,0,
1596,タムラン(取巻き),たむらん(とりまき),82,28210,58,38,40,20,61,20,727,137,63,30,0,0,2,67,6,0,0,1,0,0,0,0,0,
1597,ガーゴイル(取巻き),がーごいる(とりまき),58,5386,50,8,60,57,100,70,556,89,68,8,0,0,1,64,6,0,0,1,0,0,0,0,0,
1598,ブレイザー(取巻き),ぶれいざー(とりまき),83,7073,99,75,55,70,60,65,423,94,116,60,0,0,1,43,6,0,0,1,0,1,0,0,0,
1599,巨大ウィスパー(取巻き),きょだいうぃすぱー(とりまき),64,19320,40,79,44,51,67,31,129,59,94,45,0,0,0,48,6,0,0,1,0,1,0,0,0,
1600,ヒートタートル(取巻き),ひーとたーとる(とりまき),91,100000,89,49,50,30,88,35,725,79,1067,50,0,0,1,43,2,0,0,1,0,1,0,0,0,
1601,パーメットタートル(取巻き),ぱーめっとたーとる(とりまき),61,100000,68,28,55,40,42,25,619,56,832,50,0,0,1,40,2,0,0,1,0,1,0,0,0,
1602,ソリッドタートル(取巻き),そりっどたーとる(とりまき),71,100000,65,44,60,15,47,20,725,40,918,58,0,0,1,42,2,0,0,1,0,1,0,0,0,
1603,ビッグフット(取巻き),びっぐふっと(とりまき),25,100000,18,4,7,0,12,0,75,12,55,7,0,0,2,22,2,0,0,0,0,1,0,0,0,
1604,ジャイアントホーネット(取巻き),じゃいあんとほーねっと(とりまき),135,94992,70,45,47,32,62,34,957,53,80,43,0,0,0,24,4,0,0,1,0,1,0,0,0,
1605,ダークイリュージョン(取巻き),だーくいりゅーじょん(とりまき),92,103631,82,36,55,100,102,88,1248,60,145,60,0,0,2,89,6,1,0,1,0,1,0,0,0,
1606,ハティーベベ(取巻き),はてぃーべべ(とりまき),81,22313,69,41,55,61,18,45,744,61,62,43,0,0,1,41,2,0,0,1,0,0,0,0,0,
1607,クリスマスゴブリン(取巻き),くりすますごぶりん(とりまき),89,9293,10,51,25,20,38,45,485,188,41,25,0,0,1,24,7,0,0,1,0,1,0,0,0,
1608,雄盗蟲(取巻き),おすとうちゅう(とりまき),44,4999,35,32,22,5,32,13,103,21,40,20,0,0,1,27,4,0,0,1,0,0,0,0,0,
1610,ムナック(取巻き),むなっく(とりまき),60,4922,1,9,25,10,30,10,204,49,77,15,0,0,1,29,1,0,0,1,0,0,0,0,0,
1612,ヒェグン(取巻き),ひぇぐん(とりまき),66,8555,1,38,40,20,68,20,427,155,8,43,0,0,1,49,1,0,0,1,0,0,0,0,0,1997(4)
1613,メタリン,めたりん,26,916,21,10,49,17,10,5,46,39,69,28,57,44,0,20,0,0,0,0,0,0,1,0,0,
1614,ミネラル,みねらる,76,6814,70,61,40,5,62,50,538,57,127,3,1012,852,0,40,0,0,0,0,0,1,0,0,0,
1615,オブシディアン,おぶしでぃあん,73,10553,84,38,40,60,53,50,358,80,129,37,1011,865,0,42,0,0,0,1,0,0,0,0,0,
1616,ピットマン,ぴっとまん,43,4299,78,26,45,3,50,30,248,60,104,8,750,568,2,42,1,0,0,0,0,1,0,0,0,
1617,ジャンクポット,じゃんくぽっと,85,13624,76,61,50,13,56,15,504,60,100,17,3970,3588,2,20,0,0,0,1,0,0,0,0,0,
1618,ウンゴリアント,うんごりあんと,69,24977,71,70,58,43,92,38,506,44,108,28,20900,6890,2,45,4,0,0,1,0,1,0,0,0,1625(3)
1619,ポルセリオ,ぽるせりお,28,2473,67,28,28,40,22,30,78,53,79,37,213,110,0,62,4,0,0,0,0,0,1,0,0,
1620,ノクシャス,のくしゃす,55,5746,38,45,60,5,57,50,254,71,117,6,764,508,1,68,0,0,0,1,0,0,0,0,0,1605(3)
1621,ベノマス,べのます,57,5988,61,28,60,5,45,50,268,50,104,5,826,560,1,25,0,0,0,1,0,0,0,0,0,
1622,ベアドール,べあどーる,81,11950,57,81,66,2,68,44,434,62,106,9,1501,988,0,60,0,0,0,1,0,1,0,0,0,
1623,RSX-0806,あーるえすえっくす,100,1560733,153,143,110,128,165,84,3348,976,317,96,171195,79928,2,60,0,1,15505,1,0,1,0,0,0,1624(3)/1620(1)/1621(1)
1624,ジャンクポット(取巻き),じゃんくぽっと(とりまき),85,13624,76,61,50,13,56,15,504,60,100,17,0,0,2,20,0,0,0,1,0,0,0,0,0,
1625,ポルセリオ(取巻き),ぽるせりお(とりまき),28,2473,67,28,28,40,22,30,48,53,79,37,0,0,0,62,4,0,0,1,0,0,0,0,0,1065(2)
1626,ヘリオン,へりおん,88,344280,54,63,40,78,56,99,195,60,88,50,1,1,1,69,6,1,0,1,0,1,0,0,0,
1627,ウィレス,うぃれす,92,5963,64,200,42,58,48,42,721,18,7,10,3279,2087,0,64,4,0,0,1,0,0,0,0,0,
1628,モルデン,もるでん,32,2189,53,33,31,30,38,31,66,49,82,16,131,55,0,42,2,0,0,0,1,0,0,1,0,
1629,ヒルウィンドランサー,ひるうぃんどらんさー,66,2733,21,20,31,50,59,23,222,190,9,15,1164,540,1,64,2,0,0,1,0,0,0,0,0,
1630,ペクソジン,ぺくそじん,97,1353221,118,244,98,126,205,102,2622,2036,210,178,145782,69112,2,64,7,1,22625,1,0,0,0,0,0,1631(3)
1631,チュンイー,ちゅんいー,89,20486,66,29,36,48,36,4,850,63,9,15,4315,7986,1,44,7,0,0,1,0,0,0,0,0,
1632,グレムリン,ぐれむりん,87,12280,141,75,48,61,90,37,440,138,76,25,3432,3261,2,47,6,0,0,0,0,1,0,0,0,1786(?)/1787(?)
1633,ビホルダー,びほるだー,56,7950,96,82,65,107,94,82,310,130,50,30,1391,1294,0,44,0,0,0,0,0,1,0,0,0,
1634,セイレン=ウィンザー(転生二次職),せいれん=うぃんざー,136,218630,142,69,86,49,132,55,2719,317,166,112,220440,150940,1,63,6,0,0,1,0,1,0,0,0,
1635,エレメス=ガイル(転生二次職),えれめす=がいる(てんせいにじしょく),135,194456,145,87,59,67,127,76,2822,571,122,112,210980,146620,1,85,6,0,0,1,0,1,0,0,0,
1636,ハワード=アルトアイゼン(転生二次職),はわーど=あるとあいぜん,137,210306,138,79,62,53,82,48,2569,282,131,110,219850,149660,1,81,7,0,0,1,0,1,0,0,0,
1637,マーガレッタ=ソリン(転生二次職),まーがれった=そりん,133,195384,126,74,71,123,99,65,2216,1054,108,193,205400,142480,1,66,7,0,0,1,0,1,0,0,0,
1638,セシル=ディモン(転生二次職),せしる=でぃもん,134,193343,121,126,67,80,165,42,2638,248,76,115,206170,141240,1,64,7,0,0,1,0,1,0,1,0,
1639,カトリーヌ=ケイロン(転生二次職),かとりーぬ=けいろん(てんせいにじしょく),132,183383,108,78,55,144,139,49,1569,1423,77,271,197770,136680,1,68,7,0,0,1,0,1,0,0,0,
1640,セイレン=ウィンザー(転生二次職)(オーラ),せいれん=うぃんざー(ぼす),150,1264257,303,165,181,110,178,66,3899,2342,567,155,384132,197793,1,83,7,1,0,1,0,1,0,0,0,
1641,エレメス=ガイル(転生二次職)(オーラ),えれめす=がいる(てんせいにじしょく)(おーら),150,1127897,211,181,114,83,225,60,4117,1378,445,98,355368,181917,1,85,7,1,0,1,0,1,0,0,0,
1642,ハワード=アルトアイゼン(転生二次職)(オーラ),はわーど=あるとあいぜん(ぼす),150,1226667,275,148,156,72,177,60,4727,1465,301,106,376512,193887,1,82,7,1,0,1,0,1,0,0,0,
1643,マーガレッタ=ソリン(転生二次職)(オーラ),まーがれった=そりん(ぼす),150,1099577,172,150,164,203,155,88,2902,3396,231,299,351306,181494,1,86,7,1,0,1,0,1,0,0,0,
1644,セシル=ディモン(転生二次職)(オーラ),せしる=でぃもん(ぼす),150,1125667,176,258,155,132,309,95,4073,1550,178,135,355176,182079,1,84,7,1,0,1,0,1,0,1,0,
1645,カトリーヌ=ケイロン(転生二次職)(オーラ),かとりーぬ=けいろん(てんせいにじしょく)(おーら),150,1106587,165,90,142,236,199,93,2683,5254,215,406,355986,187119,1,68,7,1,0,1,0,1,0,0,0,
1646,セイレン=ウィンザー(転生二次職)(MVP),せいれん=うぃんざー(MVP),151,1647590,303,165,181,110,178,66,5689,2342,567,155,233280,107760,1,83,7,1,2417800,1,0,1,0,0,0,1806(1)/1807(1)/1808(1)/1809(1)/1810(1)
1647,エレメス=ガイル(転生二次職)(MVP),えれめす=がいる(てんせいにじしょく)(MVP),151,1411230,211,181,114,83,225,60,4511,1378,445,98,207504,94400,1,85,7,1,2041700,1,0,1,0,0,0,1805(1)/1807(1)/1808(1)/1809(1)/1810(1)
1648,ハワード=アルトアイゼン(転生二次職)(MVP),はわーど=あるとあいぜん(MVP),151,1460000,275,148,156,72,177,60,4423,1465,301,106,212379,96564,1,82,7,1,2001170,1,0,1,0,0,0,1805(1)/1806(1)/1808(1)/1809(1)/1810(1)
1649,マーガレッタ=ソリン(転生二次職)(MVP),まーがれった=そりん(MVP),151,1092910,172,150,164,203,155,88,3295,3396,231,349,176472,81320,1,86,7,1,2128500,1,0,1,0,0,0,1805(1)/1806(1)/1807(1)/1809(1)/1810(1)
1650,セシル=ディモン(転生二次職)(MVP),せしる=でぃもん(MVP),151,1349000,176,258,155,132,309,95,4932,1550,178,135,201873,92424,1,84,7,1,2046500,1,0,1,0,1,0,1805(1)/1806(1)/1807(1)/1808(1)/1810(1)
1651,カトリーヌ=ケイロン(転生二次職)(MVP),かとりーぬ=けいろん(てんせいにじしょく)(MVP),151,1069920,165,190,142,236,199,93,2752,5254,215,456,175488,82052,1,68,7,1,2004100,1,0,1,0,0,0,1805(1)/1806(1)/1807(1)/1808(1)/1809(1)
1652,イグニゼム=セニア(一次職),いぐにぜむ=せにあ,126,91095,94,72,36,44,49,38,1483,228,101,38,40266,32212,1,43,7,0,0,1,0,0,0,0,0,
1653,ヒュッケバイン=トリス(一次職),ひゅっけばいん=とりす,125,81023,74,61,19,17,35,59,1316,144,94,76,39306,31444,1,65,7,0,0,1,0,0,0,0,0,
1654,アルマイア=デュンゼ(一次職),あるまいあ=でゅんぜ(いちじしょく),127,87627,83,6,35,40,65,63,1618,155,129,59,41272,33017,1,62,7,0,0,1,0,0,0,0,0,
1655,イレンド=エベシ(一次職),いれんど=えべし(いちじしょく),123,81410,27,46,40,80,37,32,1055,417,120,106,43562,34849,1,46,7,0,0,1,0,0,0,0,0,
1656,カヴァク=イカルス(一次職),かヴぁく=いかるす(いちじしょく),124,80559,53,107,12,25,147,38,1163,129,70,44,37250,29800,1,44,7,0,0,1,0,0,0,1,0,1439(8)
1657,ラウレル=ヴィンダー(一次職),らうれる=ヴぃんだー,122,76409,17,59,15,117,62,27,818,665,56,91,27828,34785,1,48,7,0,0,1,0,0,0,0,0,
1658,イグニゼム=セニア(一次職)(MVP),いぐにぜむ=せにあ(MVP),99,914200,188,177,165,142,185,105,2351,2351,373,175,102252,49820,1,43,7,1,129380,1,0,1,0,0,0,1660(1)/1661(1)/1662(1)/1663(1)/1659(1)
1659,ヒュッケバイン=トリス(一次職)(取巻き),ひゅっけばいん=とりす(とりまき),99,175136,114,91,69,42,85,55,2545,144,114,116,0,0,1,65,7,0,0,1,0,0,0,0,0,
1660,アルマイア=デュンゼ(一次職)(取巻き),あるまいあ=でゅんぜ(いちじしょく)(とりまき),99,181781,123,59,85,65,96,62,2856,155,119,54,0,0,1,62,7,0,0,1,0,0,0,0,0,
1661,イレンド=エベシ(一次職)(取巻き),いれんど=えべし(いちじしょく)(とりまき),99,178612,77,66,90,105,87,62,2217,522,106,149,0,0,1,46,7,0,0,1,0,0,0,0,0,
1662,カヴァク=イカルス(一次職)(取巻き),かヴぁく=いかるす(いちじしょく)(とりまき),99,175689,103,109,62,50,149,48,2324,129,86,98,0,0,1,44,7,0,0,1,0,0,0,1,0,
1663,ラウレル=ヴィンダー(一次職)(取巻き),らうれる=ヴぃんだー(とりまき),99,165484,67,79,65,122,112,57,1923,1332,76,188,0,0,1,48,7,0,0,1,0,0,0,0,0,
1664,レッドフォトカノン,れっどふぉとんきゃのん,116,98570,1,40,25,20,130,80,1745,100,16,30,24908,8929,1,43,0,0,0,1,0,0,0,0,0,
1665,イエローフォトカノン,いえろーふぉとんきゃのん,117,94290,1,40,56,40,130,80,1736,100,24,30,24845,8886,1,42,0,0,0,1,0,0,0,0,0,
1666,グリーンフォトカノン,ぐりーんふぉとんきゃのん,114,90860,1,60,21,29,130,91,1702,100,13,30,25029,8825,1,44,0,0,0,1,0,0,0,0,0,
1667,ブルーフォトカノン,ぶるーふぉとんきゃのん,115,96860,1,40,23,30,130,99,1717,100,24,30,25972,9153,1,41,0,0,0,1,0,0,0,0,0,
1668,アークダム,あーくだむ(ひと),114,21429,118,64,70,65,66,25,1003,119,98,15,10083,3396,2,60,7,0,0,1,0,1,0,0,0,
1669,ディミック,でぃみっく,118,114284,15,69,40,15,163,42,6973,840,45,28,100231,76518,1,40,0,0,0,1,0,1,0,1,0,
1670,ウィンドディミック,うぃんどでぃみっく,120,109712,114,90,66,52,222,41,6916,107,93,28,95877,71802,1,44,0,0,0,1,0,1,0,1,0,
1671,アイスディミック,あいすでぃみっく,132,124285,118,72,62,55,188,38,7306,103,76,21,121683,85716,1,41,0,0,0,1,0,1,0,1,0,
1672,アースディミック,あーすでぃみっく,121,114002,115,64,68,50,182,35,7312,95,114,24,99138,74718,1,42,0,0,0,1,0,1,0,1,0,
1673,フレイムディミック,ふれいむでぃみっく,123,107226,112,79,72,53,186,47,7664,124,98,28,100504,76428,1,43,0,0,0,1,0,1,0,1,0,
1674,ゲート制御装置,げーとせいぎょそうち,118,80000,0,1,90,24,144,45,1298,1000,87,25,0,0,2,63,0,1,0,1,0,0,0,0,1,
1675,フレイムヴェナート,ふれいむヴぇなーと,105,13428,99,56,58,62,48,30,1144,127,96,20,3355,625,1,43,0,0,0,1,0,0,0,0,0,
1676,ヴェナート,ヴぇなーと,106,12629,109,54,60,50,60,30,1052,85,95,20,3654,621,1,40,0,0,0,1,0,0,0,0,0,
1677,ウィンドヴェナート,うぃんどヴぇなーと,109,12714,99,73,58,62,98,30,1011,107,86,20,3591,640,1,44,0,0,0,1,0,0,0,0,0,
1678,アースヴェナート,あーすヴぇなーと,108,11143,103,50,82,57,69,30,1069,100,104,16,3490,638,1,42,0,0,0,1,0,0,0,0,0,
1679,アイスヴェナート,あいすヴぇなーと,105,15543,106,69,61,55,72,30,1053,89,74,15,3385,622,1,41,0,0,0,1,0,0,0,0,0,
1680,ヒルウィンド,ひるうぃんど(はね),65,3628,105,39,59,35,80,25,341,67,90,37,659,220,1,64,2,0,0,1,0,0,0,0,0,
1681,ジェミニ-S58,じぇみに-えすごーはち,128,239413,105,72,51,64,44,36,2152,322,69,45,75316,60252,1,21,0,1,0,1,0,0,0,0,0,
1682,リムーバ,りむーば,110,29522,57,50,32,15,51,20,1030,70,110,35,14761,10332,1,49,1,0,0,1,0,0,0,0,0,
1683,レッドフォトカノン(警備兵),れっどふぉとかのん(けいびへい),116,98570,1,40,25,20,130,80,1745,100,16,30,0,0,1,43,0,0,0,1,0,0,0,0,0,
1684,アークダム(警備兵),あーくだむ(てんし),114,21429,118,64,70,65,66,25,1003,119,98,15,0,0,2,60,7,0,0,1,0,0,0,0,0,
1685,ヴェスパー,ヴぇすぱー,119,1640700,177,195,165,130,182,102,4347,4656,5402,109,198897,95408,2,46,2,1,100000,1,0,1,0,0,0,1365(1)/1669(1)/1675(1)
1686,オークベイビー,おーくべいびー,21,1781,15,1,32,20,31,35,51,11,49,3,1068,534,0,22,7,0,0,1,0,0,0,0,0,1273(1)/1023(1)
1687,グリーンイグアナ,ぐりーんいぐあな,79,8444,58,42,22,5,45,17,578,35,96,18,1823,783,1,42,2,0,0,0,0,0,1,0,0,
1688,レディータニー,れでぃーたにー,89,993000,86,108,88,121,200,71,2816,925,141,104,107652,51316,2,64,3,1,32497,1,0,0,0,1,0,1214(4)
1691,クラベン(取巻き),くらべん(とりまき),50,100000,54,99,420,15,62,20,460,45,108,20,0,0,1,88,0,0,0,1,0,0,0,0,0,
1692,ブリーズ,ぶりーず,96,18599,75,101,46,35,66,55,684,52,83,32,4151,2322,1,64,0,0,0,1,0,0,0,0,0,
1693,イエロープラズマ,いえろーぷらずま,98,24720,141,94,75,91,103,50,472,135,130,45,3561,3458,0,88,0,0,0,1,0,0,0,0,0,
1694,レッドプラズマ,れっどぷらずま,97,20146,147,77,66,65,95,50,467,100,111,12,3274,3359,0,83,0,0,0,1,0,0,0,0,0,
1695,グリーンプラズマ,ぐりーんぷらずま,95,19970,121,60,58,62,73,50,481,112,120,3,3171,3325,0,82,0,0,0,1,0,0,0,0,0,
1696,パープルプラズマ,ぱーぷるぷらずま,96,17746,130,71,72,70,87,50,479,139,78,49,3106,3306,0,87,0,0,0,1,0,0,0,0,0,
1697,ブループラズマ,ぶるーぷらずま,94,19581,124,74,60,55,66,50,491,70,51,18,3103,3304,0,81,0,0,0,1,0,0,0,0,0,1761(1)
1698,デスワード,ですわーど,103,78831,41,64,53,88,99,54,500,125,68,40,43357,27590,1,60,0,0,0,1,0,1,0,0,0,
1699,エンシェントミミック,えんしぇんとみみっく,103,80778,51,70,63,43,200,67,540,84,100,40,44427,28272,2,60,0,0,0,1,0,0,0,0,0,
1700,監視する者,かんしするもの,111,78133,99,75,52,55,106,80,1214,152,98,55,12434,18651,1,80,8,1,0,1,0,1,0,0,0,
1701,保護する者,ほごするもの,110,45600,99,66,41,103,95,89,1181,244,80,89,9739,14608,1,66,8,1,0,1,0,1,0,0,0,2070(3)
1702,執行する者,しっこうするもの,109,55999,112,60,45,77,78,70,1053,304,61,35,8360,12540,1,67,8,1,0,1,0,1,0,0,0,
1703,慰める者,なぐさめるもの,107,30302,106,65,61,42,82,72,977,165,96,96,7742,11613,1,66,8,1,0,1,0,1,0,0,0,
